"","id","zip","total","Year","region","total_population","percent_white","percent_black","percent_asian","percent_hispanic","per_capita_income","median_rent","median_age","time","racegr","income"
"114",7,"60609",16,2014,"60609",62773,17,28,4,49,14552,613,30.4,5,5,-0.807071073226925
"115",8,"60610",3,2014,"60610",38740,68,17,7,6,71176,1203,34.3,5,2,1.48814612966976
"116",9,"60611",2,2014,"60611",29722,75,4,15,4,107019,1549,39.5,5,2,2.94101894337818
"117",10,"60612",18,2014,"60612",36052,20,61,4,14,21407,767,30.6,5,5,-0.529208083578423
"118",11,"60613",5,2014,"60613",49536,76,6,6,10,55034,1066,31.5,5,2,0.833840603935824
"119",12,"60614",2,2014,"60614",68363,82,4,5,7,67585,1232,29.8,5,1,1.34258726813398
"120",13,"60615",5,2014,"60615",40745,25,60,7,5,32992,876,33.9,5,4,-0.0596176043548069
"121",14,"60616",4,2014,"60616",49491,24,24,39,11,28052,819,35.8,5,4,-0.259857308054821
"122",15,"60617",12,2014,"60617",83435,7,54,0,37,18242,648,36.1,5,5,-0.65749931074655
"123",16,"60618",6,2014,"60618",97413,44,2,4,47,31862,873,32.9,5,3,-0.105421423217361
"124",17,"60619",21,2014,"60619",64922,1,97,0,1,19987,701,39.4,5,5,-0.586766864803933
"125",18,"60620",21,2014,"60620",73253,1,97,0,1,16347,721,38.2,5,5,-0.734311909635523
"126",19,"60621",9,2014,"60621",33608,1,96,0,1,11893,676,31.6,5,5,-0.914851917789341
"127",20,"60622",12,2014,"60622",54272,59,8,3,28,43393,988,31.1,5,3,0.361980200945567
"128",21,"60623",24,2014,"60623",85158,2,34,0,63,11463,611,27.8,5,5,-0.932281689568897
"129",22,"60624",14,2014,"60624",39283,2,95,0,2,11731,690,27.9,5,5,-0.921418482971407
"130",23,"60625",10,2014,"60625",78966,42,4,14,38,29124,855,33.4,5,3,-0.216404481664859
"131",24,"60626",5,2014,"60626",51061,42,25,7,23,24054,788,33,5,3,-0.421913651251715
"132",25,"60628",16,2014,"60628",71710,2,94,0,3,17025,748,37.5,5,5,-0.706829618317991
"133",26,"60629",12,2014,"60629",113833,9,23,1,67,14299,743,29.2,5,5,-0.81732626452978
"134",27,"60630",3,2014,"60630",57886,59,1,11,27,26705,866,38.1,5,3,-0.314457081513104
"135",28,"60631",1,2014,"60631",28899,84,1,2,12,35878,1022,43.7,5,1,0.0573645383330962
"136",29,"60632",15,2014,"60632",90845,10,2,5,83,13596,672,29.3,5,5,-0.845821914671705
"137",31,"60634",8,2014,"60634",72718,59,1,4,35,24269,849,38.9,5,3,-0.413198765361937
"138",32,"60636",14,2014,"60636",39918,1,94,0,3,11897,686,32.2,5,5,-0.914689780377439
"139",33,"60637",21,2014,"60637",48270,16,77,4,2,19746,753,30.7,5,5,-0.59653564387108
"140",34,"60638",1,2014,"60638",56033,54,3,1,41,25850,802,37.2,5,3,-0.349113953307338
"141",35,"60639",11,2014,"60639",91934,7,15,0,77,14310,771,30.3,5,5,-0.816880386647047
"142",36,"60640",5,2014,"60640",64365,53,18,13,13,35414,802,37.2,5,3,0.0385565985523661
"143",37,"60641",4,2014,"60641",70730,38,2,4,54,23168,779,35.3,5,4,-0.457827087988196
"144",38,"60642",1,2014,"60642",18312,59,11,5,21,45788,1035,31.7,5,3,0.459059976322396
"145",39,"60643",5,2014,"60643",51836,23,72,0,3,28249,779,42.1,5,4,-0.251872040518606
"146",40,"60644",14,2014,"60644",47631,2,94,0,3,13381,715,32.5,5,5,-0.854536800561483
"147",41,"60645",3,2014,"60645",46913,44,16,15,22,25500,893,35,5,3,-0.363300976848837
"148",43,"60647",5,2014,"60647",87146,38,6,3,52,30368,862,31.6,5,4,-0.165979746563074
"149",44,"60649",20,2014,"60649",45444,2,94,0,2,20347,723,37.9,5,5,-0.572174497732677
"150",45,"60651",10,2014,"60651",61150,3,63,0,33,14599,730,32.7,5,5,-0.805165958637067
"151",46,"60652",2,2014,"60652",42517,16,48,0,35,23889,946,34.9,5,5,-0.428601819492708
"152",47,"60653",5,2014,"60653",31086,4,91,1,2,22333,608,35.6,5,5,-0.491673272722915
"153",48,"60654",2,2014,"60654",15885,73,5,10,9,101469,1772,32.8,5,2,2.71605328436298
"154",49,"60655",1,2014,"60655",28173,86,7,1,6,35689,867,37.6,5,1,0.0497035456206867
"155",50,"60656",1,2014,"60656",27468,77,1,8,12,29771,958,41.1,5,2,-0.190178755289573
"156",51,"60657",7,2014,"60657",68088,81,3,7,7,63820,1138,30.5,5,1,1.18997542918042
"157",52,"60659",2,2014,"60659",39657,40,5,32,20,21675,888,35.1,5,4,-0.518344876980933
"158",53,"60660",2,2014,"60660",42060,51,15,13,18,30160,794,36.2,5,3,-0.174410891982022
"159",54,"60661",2,2014,"60661",7436,64,6,22,6,76827,1555,31,5,2,1.7172057583355
"160",56,"60827",1,2014,"60827",28547,3,92,0,4,16567,720,31,5,5,-0.725394351980866
"161",2,"60602",1,2016,"60602",1463,62,2,22,12,66748,1487,32.4,7,2,1.30866001469331
"162",3,"60603",1,2016,"60603",882,61,4,30,5,73239,2001,26.1,7,2,1.57176849985865
"163",57,"60605",3,2016,"60605",24972,58,18,17,5,58338,1560,33.1,7,3,0.967766106167574
"164",4,"60606",1,2016,"60606",2789,75,2,13,9,83005,1855,30.9,7,2,1.96762699101945
"165",5,"60607",3,2016,"60607",25134,53,16,19,8,50222,1303,30.6,7,3,0.6387892974167
"166",6,"60608",8,2016,"60608",78794,15,16,10,58,16542,636,31.3,7,5,-0.726407710805259
"167",7,"60609",10,2016,"60609",62773,17,28,4,49,14552,613,30.4,7,5,-0.807071073226925
"168",8,"60610",6,2016,"60610",38740,68,17,7,6,71176,1203,34.3,7,2,1.48814612966976
"169",9,"60611",3,2016,"60611",29722,75,4,15,4,107019,1549,39.5,7,2,2.94101894337818
"170",10,"60612",11,2016,"60612",36052,20,61,4,14,21407,767,30.6,7,5,-0.529208083578423
"171",11,"60613",4,2016,"60613",49536,76,6,6,10,55034,1066,31.5,7,2,0.833840603935824
"172",12,"60614",3,2016,"60614",68363,82,4,5,7,67585,1232,29.8,7,1,1.34258726813398
"173",13,"60615",5,2016,"60615",40745,25,60,7,5,32992,876,33.9,7,4,-0.0596176043548069
"174",14,"60616",8,2016,"60616",49491,24,24,39,11,28052,819,35.8,7,4,-0.259857308054821
"175",15,"60617",24,2016,"60617",83435,7,54,0,37,18242,648,36.1,7,5,-0.65749931074655
"176",16,"60618",5,2016,"60618",97413,44,2,4,47,31862,873,32.9,7,3,-0.105421423217361
"177",17,"60619",18,2016,"60619",64922,1,97,0,1,19987,701,39.4,7,5,-0.586766864803933
"178",18,"60620",25,2016,"60620",73253,1,97,0,1,16347,721,38.2,7,5,-0.734311909635523
"179",19,"60621",12,2016,"60621",33608,1,96,0,1,11893,676,31.6,7,5,-0.914851917789341
"180",20,"60622",5,2016,"60622",54272,59,8,3,28,43393,988,31.1,7,3,0.361980200945567
"181",21,"60623",23,2016,"60623",85158,2,34,0,63,11463,611,27.8,7,5,-0.932281689568897
"182",22,"60624",17,2016,"60624",39283,2,95,0,2,11731,690,27.9,7,5,-0.921418482971407
"183",23,"60625",5,2016,"60625",78966,42,4,14,38,29124,855,33.4,7,3,-0.216404481664859
"184",24,"60626",3,2016,"60626",51061,42,25,7,23,24054,788,33,7,3,-0.421913651251715
"185",25,"60628",16,2016,"60628",71710,2,94,0,3,17025,748,37.5,7,5,-0.706829618317991
"186",26,"60629",14,2016,"60629",113833,9,23,1,67,14299,743,29.2,7,5,-0.81732626452978
"187",27,"60630",3,2016,"60630",57886,59,1,11,27,26705,866,38.1,7,3,-0.314457081513104
"188",28,"60631",1,2016,"60631",28899,84,1,2,12,35878,1022,43.7,7,1,0.0573645383330962
"189",29,"60632",6,2016,"60632",90845,10,2,5,83,13596,672,29.3,7,5,-0.845821914671705
"190",30,"60633",1,2016,"60633",13474,32,25,1,42,20668,749,36.6,7,4,-0.559162970427474
"191",31,"60634",5,2016,"60634",72718,59,1,4,35,24269,849,38.9,7,3,-0.413198765361937
"192",32,"60636",14,2016,"60636",39918,1,94,0,3,11897,686,32.2,7,5,-0.914689780377439
"193",33,"60637",12,2016,"60637",48270,16,77,4,2,19746,753,30.7,7,5,-0.59653564387108
"194",34,"60638",4,2016,"60638",56033,54,3,1,41,25850,802,37.2,7,3,-0.349113953307338
