"","id","zip","total","Year","region","total_population","percent_white","percent_black","percent_asian","percent_hispanic","per_capita_income","median_rent","median_age","time","racegr","income"
"102",45,"60649",22,2010,"60649",45444,2,94,0,2,20347,723,37.9,1,5,-0.610202283116883
"103",46,"60651",27,2010,"60651",61150,3,63,0,33,14599,730,32.7,1,5,-0.820810309558638
"104",47,"60652",4,2010,"60652",42517,16,48,0,35,23889,946,34.9,1,5,-0.480422598068745
"105",48,"60653",23,2010,"60653",31086,4,91,1,2,22333,608,35.6,1,5,-0.537434791726256
"106",49,"60654",9,2010,"60654",15885,73,5,10,9,101469,1772,32.8,1,2,2.3621262348038
"107",50,"60655",4,2010,"60655",28173,86,7,1,6,35689,867,37.6,1,1,-0.0480679160901939
"108",51,"60656",4,2010,"60656",27468,77,1,8,12,29771,958,41.1,1,2,-0.264904781170623
"109",52,"60657",17,2010,"60657",68088,81,3,7,7,63820,1138,30.5,1,1,0.982658317701215
"110",53,"60659",7,2010,"60659",39657,40,5,32,20,21675,888,35.1,1,4,-0.561544061280653
"111",54,"60660",9,2010,"60660",42060,51,15,13,18,30160,794,36.2,1,3,-0.250651732756246
"112",55,"60661",2,2010,"60661",7436,64,6,22,6,76827,1555,31,1,2,1.45923775401435
"113",56,"60707",3,2010,"60707",42712,58,7,3,29,26405,810,39.1,1,3,-0.388235786216369
"114",57,"60827",3,2010,"60827",28547,3,92,0,4,16567,720,31,1,5,-0.748702342259165
"115",1,"60601",7,2016,"60601",9732,63,11,18,6,89136,1717,36.6,7,2,1.91024231168164
"116",2,"60602",7,2016,"60602",1463,62,2,22,12,66748,1487,32.4,7,2,1.08994090319555
"117",3,"60603",8,2016,"60603",882,61,4,30,5,73239,2001,26.1,7,2,1.32777261851104
"118",4,"60604",1,2016,"60604",415,80,0,16,3,135807,1614,54,7,2,3.62027835936138
"119",5,"60605",7,2016,"60605",24972,58,18,17,5,58338,1560,33.1,7,3,0.78179659171762
"120",6,"60606",2,2016,"60606",2789,75,2,13,9,83005,1855,30.9,7,2,1.68560107818922
"121",7,"60607",10,2016,"60607",25134,53,16,19,8,50222,1303,30.6,7,3,0.484424507061864
"122",8,"60608",20,2016,"60608",78794,15,16,10,58,16542,636,31.3,7,5,-0.749618347941323
"123",9,"60609",19,2016,"60609",62773,17,28,4,49,14552,613,30.4,7,5,-0.822532400241095
"124",10,"60610",7,2016,"60610",38740,68,17,7,6,71176,1203,34.3,7,2,1.25218382961937
"125",11,"60611",11,2016,"60611",29722,75,4,15,4,107019,1549,39.5,7,2,2.56547949624286
"126",12,"60612",13,2016,"60612",36052,20,61,4,14,21407,767,30.6,7,5,-0.571363642193386
"127",13,"60613",7,2016,"60613",49536,76,6,6,10,55034,1066,31.5,7,2,0.660737280763626
"128",14,"60614",15,2016,"60614",68363,82,4,5,7,67585,1232,29.8,7,1,1.1206087734342
"129",15,"60615",5,2016,"60615",40745,25,60,7,5,32992,876,33.9,7,4,-0.146886609081393
"130",16,"60616",6,2016,"60616",49491,24,24,39,11,28052,819,35.8,7,4,-0.327889331875804
"131",17,"60617",17,2016,"60617",83435,7,54,0,37,18242,648,36.1,7,5,-0.687329961554582
"132",18,"60618",19,2016,"60618",97413,44,2,4,47,31862,873,32.9,7,3,-0.188290065914932
"133",19,"60619",28,2016,"60619",64922,1,97,0,1,19987,701,39.4,7,5,-0.623392764939958
"134",20,"60620",36,2016,"60620",73253,1,97,0,1,16347,721,38.2,7,5,-0.756763192262155
"135",21,"60621",20,2016,"60621",33608,1,96,0,1,11893,676,31.6,7,5,-0.919958764595415
"136",22,"60622",15,2016,"60622",54272,59,8,3,28,43393,988,31.1,7,3,0.234208394923599
"137",23,"60623",12,2016,"60623",85158,2,34,0,63,11463,611,27.8,7,5,-0.935714062328531
"138",24,"60624",23,2016,"60624",39283,2,95,0,2,11731,690,27.9,7,5,-0.925894481415798
"139",25,"60625",8,2016,"60625",78966,42,4,14,38,29124,855,33.4,7,3,-0.288611008224871
"140",26,"60626",5,2016,"60626",51061,42,25,7,23,24054,788,33,7,3,-0.474376960566503
"141",27,"60628",35,2016,"60628",71710,2,94,0,3,17025,748,37.5,7,5,-0.731921118162031
"142",28,"60629",28,2016,"60629",113833,9,23,1,67,14299,743,29.2,7,5,-0.831802377744534
