"","X.1","X","ID","Case.Number","Date","Block","IUCR","Primary.Type","Description","Location.Description","Arrest","Domestic","Beat","District","Ward","Community.Area","FBI.Code","X.Coordinate","Y.Coordinate","Year","Updated.On","Latitude","Longitude","Location"
"99684",2104130,2104130,10831268,"JA132768","2017-01-28 03:24:00","014XX S KEDVALE AVE","0496","BATTERY","AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST","APARTMENT","true","true",1011,10,24,29,"04B",1148952,1892745,2017,"02/14/2017 03:49:42 PM",41.86162,-87.7287,"(41.861621833, -87.728703563)"
"43208",1940061,1940061,10575653,"HZ324201","2016-06-25 11:00:00","010XX N MOZART ST","0820","THEFT","$500 AND UNDER","RESIDENCE","false","false",1211,12,26,24,"06",1157198,1906741,2016,"07/02/2016 03:52:13 PM",41.89986,-87.69805,"(41.899864863, -87.698053505)"
"22821",792482,792482,8549168,"HV225121","2012-04-02 02:30:00","001XX N KEDZIE AVE","0430","BATTERY","AGGRAVATED: OTHER DANG WEAPON","SIDEWALK","false","false",1331,12,27,27,"04B",1155029,1900649,2012,"02/04/2016 06:33:39 AM",41.88319,-87.70618,"(41.883191631, -87.706183852)"
"19442",1770671,1770671,10254199,"HY442121","2015-09-27 08:00:00","019XX W CULLOM AVE","0910","MOTOR VEHICLE THEFT","AUTOMOBILE","STREET","false","false",1912,19,47,5,"07",1162949,1928577,2015,"10/09/2015 03:58:54 PM",41.95967,-87.67632,"(41.959665385, -87.676315417)"
"15159",17557,17557,7328855,"HS132378","2010-01-22 04:00:00","072XX S CONSTANCE AVE","0460","BATTERY","SIMPLE","STREET","false","false",324,3,8,43,"08B",1189622,1857509,2010,"02/04/2016 06:33:39 AM",41.764049127,-87.58054609,"(41.764049127, -87.58054609)"
"89443",2084256,2084256,10801249,"HZ571147","2016-12-31 10:50:00","092XX S ADA ST","0486","BATTERY","DOMESTIC BATTERY SIMPLE","RESIDENCE","true","true",2222,22,21,73,"08B",1168952,1843470,2016,"01/29/2017 03:47:59 PM",41.726,-87.65671,"(41.725995587, -87.656710822)"
"67425",2157781,2157781,10913525,"JA226822","2017-04-15 07:30:00","117XX S MARSHFIELD AVE","0860","THEFT","RETAIL THEFT","SMALL RETAIL STORE","false","false",2234,22,34,75,"06",1167518,1826850,2017,"04/22/2017 03:52:16 PM",41.68042,-87.66244,"(41.680418426, -87.662437948)"
"21076",358446,358446,7865667,"HS680205","2010-12-28 09:30:00","089XX S COMMERCIAL AVE","0320","ROBBERY","STRONGARM - NO WEAPON","SIDEWALK","false","false",423,4,10,46,"03",1197693,1846366,2010,"02/04/2016 06:33:39 AM",41.73327429,-87.55133578,"(41.73327429, -87.55133578)"
"72374",843911,843911,8631848,"HV305826","2012-05-27 01:30:00","010XX W POLK ST","0630","BURGLARY","ATTEMPT FORCIBLE ENTRY","RESIDENCE","false","false",1213,12,25,28,"05",1169803,1896633,2012,"02/04/2016 06:33:39 AM",41.87186,-87.65205,"(41.871862351, -87.652050099)"
"44913",2285354,2285354,11098923,"JA445108","2017-09-23 09:00:00","016XX N MOHAWK ST","1320","CRIMINAL DAMAGE","TO VEHICLE","STREET","false","false",1813,18,43,7,"14",1172354,1911231,2017,"09/30/2017 03:47:16 PM",41.91186,-87.64225,"(41.911864202, -87.642252739)"
