"","region","total_population","percent_white","percent_black","percent_asian","percent_hispanic","per_capita_income","median_rent","median_age"
"1785",17065973200,2704,98,1,0,1,20313,246,37.2
"1786",17065973300,2750,99,0,0,1,24615,299,39.8
"1787",17067953700,2303,98,0,0,0,23444,375,47.2
"1788",17067953800,2649,98,0,0,1,23346,404,45.9
"1789",17067953900,1965,98,0,0,2,22762,363,41.5
"1790",17067954000,2614,94,1,1,2,25733,493,49.7
"1791",17067954100,3125,97,0,0,1,24438,443,45.6
"1792",17067954200,2561,96,0,1,2,21940,381,42.1
"1793",17067954300,3732,99,0,0,0,23838,313,41.9
"1794",17069970900,2196,91,1,1,1,21941,210,41.6
"1795",17069971000,2077,98,1,0,0,22816,216,52.4
"1796",17071973300,2628,94,1,0,2,25179,394,45.3
"1797",17071973400,1690,99,0,0,0,30278,242,51.8
"1798",17071973500,2868,97,0,0,1,23987,382,49
"1799",17073030100,5775,90,1,0,6,22717,604,37.4
"1800",17073030201,4775,98,0,0,1,34791,491,43.9
"1801",17073030202,3741,94,2,1,2,28291,436,45.1
"1802",17073030203,4301,98,0,0,2,36497,523,44.9
"1803",17073030300,7191,93,0,0,3,30424,569,40.7
"1804",17073030400,2478,97,0,0,1,28478,407,46.8
"1805",17073030500,2414,95,2,1,2,27704,467,45.5
"1806",17073030600,3149,67,6,0,24,22019,433,36
"1807",17073030800,3459,78,8,1,11,16836,284,36
"1808",17073030900,3579,87,1,0,10,24601,417,35.2
"1809",17073031000,3637,94,4,0,3,21222,479,46
"1810",17073031100,2705,98,0,1,1,26517,401,48.6
"1811",17073031200,3056,96,1,0,2,26833,435,45.7
"1812",17075950100,2889,90,6,0,3,24126,470,43.8
"1813",17075950200,3891,97,0,1,1,26432,533,37.2
"1814",17075950300,3425,96,1,0,3,25480,493,42.9
"1815",17075950400,3977,94,2,1,3,19119,442,43.4
"1816",17075950500,4119,96,1,1,2,23186,471,44.3
"1817",17075950600,3604,70,0,0,28,19632,488,38.7
"1818",17075950700,2651,95,0,0,4,35053,588,48.8
"1819",17075950800,2477,96,0,0,3,33082,415,50.3
"1820",17075950900,2413,94,0,1,3,25712,423,45.7
"1821",17077010100,3565,96,0,0,4,24585,355,39.2
"1822",17077010200,4030,94,1,1,3,23521,405,39.3
"1823",17077010300,2546,98,0,0,0,23480,335,47.2
"1824",17077010400,4664,97,1,0,1,26872,613,45.7
"1825",17077010600,6498,89,6,0,4,19621,429,36.2
"1826",17077010700,3143,73,18,0,1,14784,342,37.5
"1827",17077010800,3749,73,19,2,4,20639,564,29.5
"1828",17077010900,2496,51,45,0,3,22825,633,38.5
"1829",17077011000,6406,72,12,5,3,32119,583,38.5
"1830",17077011100,3116,54,24,10,10,9439,447,22.8
"1831",17077011200,4852,48,42,0,7,11149,487,22.9
"1832",17077011400,3720,71,8,12,4,16987,606,22.9
"1833",17077011600,4049,84,6,6,1,36987,563,43
"1834",17077011700,7221,60,20,8,8,7569,577,20.7
"1835",17079977300,2826,97,0,1,2,25509,332,44.2
"1836",17079977400,2950,99,0,0,0,22748,336,44.3
"1837",17079977500,3904,98,0,0,1,24285,324,41.9
"1838",17081050100,4057,97,0,0,1,24648,264,44
"1839",17081050200,3050,98,0,0,1,21943,429,39.5
"1840",17081050300,4395,96,0,0,2,22764,289,41.3
"1841",17081050400,5544,81,13,0,5,16461,356,39
"1842",17081050500,3765,90,5,2,0,29512,452,47.6
"1843",17081050600,3194,85,6,5,1,37459,512,49.2
"1844",17081050700,3615,92,5,1,1,24742,439,40
"1845",17081050800,4517,97,1,0,0,23554,425,44
"1846",17081050900,2887,64,22,0,10,11623,419,29.3
"1847",17081051000,1396,43,46,1,2,11903,426,24
"1848",17081051100,2349,79,18,0,1,17863,374,43.2
"1849",17083010100,4897,95,0,2,3,22503,494,38.8
"1850",17083010200,3666,99,0,0,1,27415,354,42.9
"1851",17083010300,4054,96,1,0,0,25450,474,38.8
"1852",17083010401,6693,99,0,0,0,24648,469,39.7
"1853",17083010402,1983,96,0,0,0,24506,441,42.7
"1854",17083010500,1557,92,1,5,1,34995,445,46.6
"1855",17085020100,4409,97,0,0,2,23536,358,47.1
"1856",17085020200,5018,95,0,1,2,26782,527,40.7
"1857",17085020300,4708,90,1,1,8,35435,584,51
"1858",17085020401,2214,97,1,0,1,40385,493,59.2
"1859",17085020402,2993,97,0,0,2,29431,393,48.4
"1860",17085020500,3260,98,0,0,1,27061,410,42.2
"1861",17087977600,5164,85,11,0,2,20311,455,45.1
"1862",17087977700,2902,98,0,0,1,21803,459,41.5
"1863",17087977800,3558,97,1,0,0,18974,374,43.7
"1864",17087980000,1041,37,49,0,14,1893,NA,33.7
