"","id","zip","total","Year","region","total_population","percent_white","percent_black","percent_asian","percent_hispanic","per_capita_income","median_rent","median_age"
"149","60636","60636",35,2014,"60636",39918,1,94,0,3,11897,686,32.2
"150","60637","60637",38,2014,"60637",48270,16,77,4,2,19746,753,30.7
"151","60638","60638",7,2014,"60638",56033,54,3,1,41,25850,802,37.2
"152","60639","60639",25,2014,"60639",91934,7,15,0,77,14310,771,30.3
"153","60640","60640",18,2014,"60640",64365,53,18,13,13,35414,802,37.2
"154","60641","60641",18,2014,"60641",70730,38,2,4,54,23168,779,35.3
"155","60642","60642",12,2014,"60642",18312,59,11,5,21,45788,1035,31.7
"156","60643","60643",18,2014,"60643",51836,23,72,0,3,28249,779,42.1
"157","60644","60644",48,2014,"60644",47631,2,94,0,3,13381,715,32.5
"158","60645","60645",5,2014,"60645",46913,44,16,15,22,25500,893,35
"159","60646","60646",1,2014,"60646",28314,76,1,10,12,40071,761,42.7
"160","60647","60647",19,2014,"60647",87146,38,6,3,52,30368,862,31.6
"161","60649","60649",36,2014,"60649",45444,2,94,0,2,20347,723,37.9
"162","60651","60651",35,2014,"60651",61150,3,63,0,33,14599,730,32.7
"163","60652","60652",8,2014,"60652",42517,16,48,0,35,23889,946,34.9
"164","60653","60653",13,2014,"60653",31086,4,91,1,2,22333,608,35.6
"165","60654","60654",9,2014,"60654",15885,73,5,10,9,101469,1772,32.8
"166","60655","60655",4,2014,"60655",28173,86,7,1,6,35689,867,37.6
"167","60656","60656",3,2014,"60656",27468,77,1,8,12,29771,958,41.1
"168","60657","60657",24,2014,"60657",68088,81,3,7,7,63820,1138,30.5
"169","60659","60659",3,2014,"60659",39657,40,5,32,20,21675,888,35.1
"170","60660","60660",7,2014,"60660",42060,51,15,13,18,30160,794,36.2
"171","60661","60661",3,2014,"60661",7436,64,6,22,6,76827,1555,31
"172","60707","60707",4,2014,"60707",42712,58,7,3,29,26405,810,39.1
"173","60827","60827",1,2014,"60827",28547,3,92,0,4,16567,720,31
"174","60601","60601",7,2016,"60601",9732,63,11,18,6,89136,1717,36.6
"175","60602","60602",8,2016,"60602",1463,62,2,22,12,66748,1487,32.4
"176","60603","60603",9,2016,"60603",882,61,4,30,5,73239,2001,26.1
"177","60604","60604",1,2016,"60604",415,80,0,16,3,135807,1614,54
"178","60605","60605",10,2016,"60605",24972,58,18,17,5,58338,1560,33.1
"179","60606","60606",3,2016,"60606",2789,75,2,13,9,83005,1855,30.9
"180","60607","60607",13,2016,"60607",25134,53,16,19,8,50222,1303,30.6
"181","60608","60608",28,2016,"60608",78794,15,16,10,58,16542,636,31.3
"182","60609","60609",29,2016,"60609",62773,17,28,4,49,14552,613,30.4
"183","60610","60610",13,2016,"60610",38740,68,17,7,6,71176,1203,34.3
"184","60611","60611",14,2016,"60611",29722,75,4,15,4,107019,1549,39.5
"185","60612","60612",24,2016,"60612",36052,20,61,4,14,21407,767,30.6
"186","60613","60613",11,2016,"60613",49536,76,6,6,10,55034,1066,31.5
"187","60614","60614",18,2016,"60614",68363,82,4,5,7,67585,1232,29.8
"188","60615","60615",10,2016,"60615",40745,25,60,7,5,32992,876,33.9
"189","60616","60616",14,2016,"60616",49491,24,24,39,11,28052,819,35.8
"190","60617","60617",41,2016,"60617",83435,7,54,0,37,18242,648,36.1
"191","60618","60618",24,2016,"60618",97413,44,2,4,47,31862,873,32.9
"192","60619","60619",46,2016,"60619",64922,1,97,0,1,19987,701,39.4
"193","60620","60620",61,2016,"60620",73253,1,97,0,1,16347,721,38.2
"194","60621","60621",32,2016,"60621",33608,1,96,0,1,11893,676,31.6
"195","60622","60622",20,2016,"60622",54272,59,8,3,28,43393,988,31.1
"196","60623","60623",35,2016,"60623",85158,2,34,0,63,11463,611,27.8
"197","60624","60624",40,2016,"60624",39283,2,95,0,2,11731,690,27.9
"198","60625","60625",13,2016,"60625",78966,42,4,14,38,29124,855,33.4
"199","60626","60626",8,2016,"60626",51061,42,25,7,23,24054,788,33
"200","60628","60628",51,2016,"60628",71710,2,94,0,3,17025,748,37.5
"201","60629","60629",42,2016,"60629",113833,9,23,1,67,14299,743,29.2
"202","60630","60630",10,2016,"60630",57886,59,1,11,27,26705,866,38.1
"203","60631","60631",2,2016,"60631",28899,84,1,2,12,35878,1022,43.7
"204","60632","60632",22,2016,"60632",90845,10,2,5,83,13596,672,29.3
"205","60633","60633",1,2016,"60633",13474,32,25,1,42,20668,749,36.6
"206","60634","60634",15,2016,"60634",72718,59,1,4,35,24269,849,38.9
"207","60636","60636",28,2016,"60636",39918,1,94,0,3,11897,686,32.2
"208","60637","60637",23,2016,"60637",48270,16,77,4,2,19746,753,30.7
"209","60638","60638",8,2016,"60638",56033,54,3,1,41,25850,802,37.2
"210","60639","60639",26,2016,"60639",91934,7,15,0,77,14310,771,30.3
"211","60640","60640",25,2016,"60640",64365,53,18,13,13,35414,802,37.2
"212","60641","60641",19,2016,"60641",70730,38,2,4,54,23168,779,35.3
"213","60642","60642",13,2016,"60642",18312,59,11,5,21,45788,1035,31.7
"214","60643","60643",17,2016,"60643",51836,23,72,0,3,28249,779,42.1
"215","60644","60644",50,2016,"60644",47631,2,94,0,3,13381,715,32.5
"216","60645","60645",7,2016,"60645",46913,44,16,15,22,25500,893,35
"217","60646","60646",1,2016,"60646",28314,76,1,10,12,40071,761,42.7
